"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.360888591E0,-4.539999962E-1,-2.610000074E-1,3.190000057E-1
1.365850745E0,-4.990000129E-1,-2.060000002E-1,3.319999874E-1
1.370812885E0,-4.250000119E-1,-4.259999990E-1,5.899999738E-1
1.375775115E0,-4.620000124E-1,-2.370000035E-1,7.129999995E-1
1.380737500E0,-2.549999952E-1,-2.669999897E-1,1.230000019E0
1.385699659E0,-2.199999988E-2,-4.889999926E-1,1.218000054E0
1.390661813E0,1.159999967E-1,-4.420000017E-1,1.138000011E0
1.395624044E0,6.599999964E-2,-2.739999890E-1,1.167999983E0
1.400586168E0,8.799999952E-2,-1.679999977E-1,1.046000004E0
1.405548553E0,1.879999936E-1,-6.800000370E-2,9.129999876E-1
1.410510784E0,3.310000002E-1,-1.360000074E-1,7.559999824E-1
1.415472861E0,3.790000081E-1,-2.899999917E-2,5.849999785E-1
1.420435091E0,5.400000215E-1,9.000000358E-2,2.479999959E-1
1.425397240E0,1.333999991E0,-5.249999762E-1,-9.150000215E-1
1.430359394E0,4.440000057E-1,6.150000095E-1,1.539999992E-1
1.435321779E0,4.500000179E-2,7.609999776E-1,9.399999678E-2
1.440284015E0,3.089999855E-1,3.249999881E-1,-2.010000050E-1
1.445246168E0,4.169999957E-1,8.699999750E-2,-5.320000052E-1
1.450208539E0,3.499999940E-1,1.529999971E-1,-7.689999938E-1
1.455170770E0,4.189999998E-1,6.899999827E-2,-9.789999723E-1
1.460132847E0,-3.560000062E-1,2.599999905E-1,-7.139999866E-1
1.465095078E0,-5.749999881E-1,9.899999946E-2,-5.450000167E-1
1.470057462E0,-7.129999995E-1,-1.280000061E-1,-5.260000229E-1
1.475019616E0,-7.429999709E-1,-2.189999968E-1,-4.539999962E-1
1.479981774E0,-5.019999743E-1,-2.240000069E-1,-4.210000038E-1
1.484943928E0,-4.600000083E-1,-4.070000052E-1,-2.269999981E-1
1.489906150E0,-6.520000100E-1,-4.659999907E-1,-1.430000067E-1
1.494868534E0,-5.299999714E-1,-3.759999871E-1,-1.000000015E-1
1.499830457E0,-5.199999809E-1,-3.569999933E-1,2.999999933E-2
1.504792851E0,-1.480000019E-1,-2.500000000E-1,-8.999999613E-3
1.509755082E0,4.199999943E-2,-2.010000050E-1,-8.799999952E-2
1.514717236E0,2.339999974E-1,-1.650000066E-1,-7.199999690E-2
1.519679399E0,3.720000088E-1,1.300000027E-2,-1.360000074E-1
1.524641784E0,5.070000291E-1,6.100000069E-2,-2.010000050E-1
1.529604020E0,6.169999838E-1,1.630000025E-1,-2.930000126E-1
1.534566097E0,6.320000291E-1,2.249999940E-1,-4.799999893E-1
1.539528328E0,5.389999747E-1,1.780000031E-1,-5.720000267E-1
1.544490495E0,3.639999926E-1,1.850000024E-1,-6.100000143E-1
1.549452880E0,2.020000070E-1,2.070000023E-1,-7.570000291E-1
1.554415111E0,6.800000370E-2,7.900000364E-2,-9.169999957E-1
1.559377275E0,-9.399999678E-2,4.800000042E-2,-1.024000049E0
1.564339429E0,-2.849999964E-1,-2.300000004E-2,-1.008999944E0
1.569301813E0,-3.680000007E-1,-2.400000021E-2,-9.539999962E-1
1.574263958E0,-3.989999890E-1,-1.199999973E-1,-8.309999704E-1
1.579226112E0,-3.219999969E-1,1.499999966E-2,-8.180000186E-1
1.584188343E0,-2.870000005E-1,-1.459999979E-1,-6.430000067E-1
1.589150727E0,-1.439999938E-1,-1.030000001E-1,-4.539999962E-1
1.594112881E0,-5.499999970E-2,-7.299999893E-2,-3.059999943E-1
1.599075035E0,9.700000286E-2,-1.759999990E-1,-2.549999952E-1
1.604037189E0,5.000000075E-2,-8.999999613E-3,-1.080000028E-1
1.608999420E0,1.539999992E-1,8.000000380E-3,-4.199999943E-2
1.613961621E0,2.310000062E-1,1.340000033E-1,1.040000021E-1
1.618923775E0,1.220000014E-1,1.230000034E-1,2.109999955E-1
